horizon_sec,event_count,event_mae,event_rmse,event_bias
7.0,1,2.30139274597168,2.30139274597168,-2.30139274597168
8.0,3,1.6650997797648113,1.7260812957652545,-1.6650997797648113
9.0,3,1.4043310483296711,1.522140371211088,-1.4043310483296711
10.0,4,1.1190102338790893,1.2533363447790566,-1.1190102338790893
11.0,4,1.05688157081604,1.1726494739840925,-1.05688157081604
12.0,5,0.9859044837951659,1.0684178413885328,-0.9859044837951659
13.0,5,0.9698986816406249,1.047265059533015,-0.9698986816406249
14.0,6,0.8467668692270913,0.9314366577432528,-0.8467668692270913
15.0,6,0.8188471794128417,0.9057263064845039,-0.8188471794128417
16.0,6,0.8019674619038898,0.8880299367425296,-0.8019674619038898
17.0,6,0.7936983903249103,0.8847866104412654,-0.7936983903249103
18.0,6,0.7847019036610919,0.8782902459265661,-0.7847019036610919
19.0,6,0.7370292345682778,0.8337808164133961,-0.7370292345682778
20.0,6,0.6641973654429116,0.7772823817524693,-0.6641973654429116
21.0,6,0.6053547859191893,0.7160557619146578,-0.6053547859191893
22.0,6,0.5635124047597247,0.6679401212081959,-0.5635124047597247
23.0,6,0.5233455499013263,0.6341658781885113,-0.5233455499013263
24.0,6,0.5064057191212972,0.6207572633798543,-0.5053592522939044
25.0,6,0.494760799407959,0.6043323141401078,-0.49110841751098616
26.0,6,0.45543516476949053,0.5475867055283625,-0.4434381326039631
27.0,6,0.44132285118103026,0.5305980305971569,-0.424999952316284
28.0,6,0.4297495365142822,0.5171900053011796,-0.4137227535247801
29.0,6,0.4196616490681966,0.5026017319392942,-0.40393129984537746
30.0,6,0.3995616912841797,0.4780032475969372,-0.3841282526652017
31.0,6,0.3893146197001139,0.4663727122376361,-0.37417666117350246
32.0,6,0.3828125476837158,0.4591227166532901,-0.3679686387379963
33.0,6,0.3780839920043945,0.4543042860175501,-0.3635325431823729
34.0,6,0.3747465292612711,0.4510884298700747,-0.3603012561798094
35.0,6,0.34852096239725744,0.43028688588044767,-0.33399732907613106
36.0,7,0.4130464553833008,0.5055132692558505,-0.3938819885253905
37.0,7,0.4252686091831753,0.5295180984564225,-0.40039939880371084
38.0,8,0.41513549089431767,0.5101997772832737,-0.3918745636940002
39.0,8,0.4064389348030091,0.5024443958857878,-0.38339639902114864
40.0,8,0.40866707563400273,0.5137180976519681,-0.38584305047988887
41.0,8,0.4062121391296387,0.5171324357645689,-0.38360710144042964
42.0,8,0.3961921811103821,0.5138056594155868,-0.3738064885139465
43.0,8,0.3678467154502869,0.4895374857254978,-0.3346632838249206
44.0,8,0.36810170412063603,0.4889665093353242,-0.32112480401992793
45.0,8,0.33575330972671513,0.4751472950441764,-0.28551317453384395
46.0,8,0.3299261808395386,0.47133278305533755,-0.2799055099487304
47.0,8,0.3227570533752442,0.4679709861897443,-0.27295620441436763
48.0,8,0.2943434000015259,0.4286716275353979,-0.24476249217987056
49.0,8,0.29261618852615356,0.4269076786732716,-0.24160755872726436
50.0,8,0.2519637942314148,0.33761116285373666,-0.1912968277931213
51.0,8,0.25415998697280884,0.33568611238416446,-0.17930568456649776
52.0,8,0.22479712963104248,0.32034233111394445,-0.14227027893066402
53.0,8,0.20789817571640024,0.2956598523223281,-0.10944713354110713
54.0,8,0.20882573127746595,0.28674391465219257,-0.09882647991180415
55.0,8,0.21392657756805433,0.2853211227652308,-0.09071094989776607
56.0,8,0.21613659858703627,0.2804239530341249,-0.08296222686767574
